"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2075,"SLR_Temp_Moderate","york",2446716.33550669,15789260.2967114
2076,"SLR_Temp_Moderate","york",2386680.49146862,15628436.176676
2077,"SLR_Temp_Moderate","york",2325468.64649612,15464594.7092116
2078,"SLR_Temp_Moderate","york",2263080.80058919,15297735.8943182
2079,"SLR_Temp_Moderate","york",2199516.95374783,15127859.7319958
2080,"SLR_Temp_Moderate","york",2134777.10597204,14954966.2222444
2081,"SLR_Temp_Moderate","york",2068861.25726183,14779055.365064
2082,"SLR_Temp_Moderate","york",2001769.40761718,14600127.1604547
2083,"SLR_Temp_Moderate","york",1933501.55703809,14418181.6084163
2084,"SLR_Temp_Moderate","york",1864057.70552458,14233218.708949
2085,"SLR_Temp_Moderate","york",1793437.85307664,14045238.4620526
2086,"SLR_Temp_Moderate","york",1721641.99969427,13854240.8677273
2087,"SLR_Temp_Moderate","york",1648670.14537747,13660225.925973
2088,"SLR_Temp_Moderate","york",1574522.29012624,13463193.6367897
2089,"SLR_Temp_Moderate","york",1499198.43394057,13263144.0001774
2090,"SLR_Temp_Moderate","york",1422698.57682049,13060077.0161361
2091,"SLR_Temp_Moderate","york",1345022.71876596,12853992.6846659
2092,"SLR_Temp_Moderate","york",1266170.85977701,12644891.0057666
2093,"SLR_Temp_Moderate","york",1186142.99985363,12432771.9794384
2094,"SLR_Temp_Moderate","york",1104939.13899582,12217635.6056811
2095,"SLR_Temp_Moderate","york",1022559.27720358,11999481.8844949
2096,"SLR_Temp_Moderate","york",939003.414476901,11778310.8158797
2097,"SLR_Temp_Moderate","york",854271.5508158,11554122.3998355
2098,"SLR_Temp_Moderate","york",768363.686220264,11326916.6363623
2099,"SLR_Temp_Moderate","york",681279.820690308,11096693.5254601
2100,"SLR_Temp_Moderate","york",593019.954225913,10863453.0671289
2020,"SLR_Temp_High","york",3913827.35472218,19935787.6502007
2021,"SLR_Temp_High","york",3924803.35609485,19955357.610228
2022,"SLR_Temp_High","york",3933819.35591015,19969898.6578737
2023,"SLR_Temp_High","york",3940875.35416805,19979410.7931377
2024,"SLR_Temp_High","york",3945971.35086858,19983894.0160201
2025,"SLR_Temp_High","york",3949107.34601172,19983348.3265209
2026,"SLR_Temp_High","york",3950283.33959748,19977773.7246399
2027,"SLR_Temp_High","york",3949499.33162585,19967170.2103774
2028,"SLR_Temp_High","york",3946755.32209684,19951537.7837331
2029,"SLR_Temp_High","york",3942051.31101045,19930876.4447073
2030,"SLR_Temp_High","york",3935387.29836667,19905186.1932998
2031,"SLR_Temp_High","york",3926763.28416551,19874467.0295106
2032,"SLR_Temp_High","york",3916179.26840696,19838718.9533398
2033,"SLR_Temp_High","york",3903635.25109104,19797941.9647873
2034,"SLR_Temp_High","york",3889131.23221773,19752136.0638532
2035,"SLR_Temp_High","york",3872667.21178703,19701301.2505374
2036,"SLR_Temp_High","york",3854243.18979895,19645437.52484
2037,"SLR_Temp_High","york",3833859.16625349,19584544.886761
2038,"SLR_Temp_High","york",3811515.14115065,19518623.3363003
2039,"SLR_Temp_High","york",3787211.11449042,19447672.8734579
2040,"SLR_Temp_High","york",3760947.0862728,19371693.4982339
2041,"SLR_Temp_High","york",3732723.05649781,19290685.2106282
2042,"SLR_Temp_High","york",3702539.02516543,19204648.0106409
2043,"SLR_Temp_High","york",3670394.99227566,19113581.898272
2044,"SLR_Temp_High","york",3636290.95782852,19017486.8735214
2045,"SLR_Temp_High","york",3600226.92182398,18916362.9363891
2046,"SLR_Temp_High","york",3562202.88426208,18810210.0868752
2047,"SLR_Temp_High","york",3522218.84514278,18699028.3249796
2048,"SLR_Temp_High","york",3480274.80446609,18582817.6507024
2049,"SLR_Temp_High","york",3436370.76223203,18461578.0640436
2050,"SLR_Temp_High","york",3390506.71844058,18335309.5650031
2051,"SLR_Temp_High","york",3342682.67309175,18204012.1535809
2052,"SLR_Temp_High","york",3292898.62618553,18067685.8297771
2053,"SLR_Temp_High","york",3241154.57772193,17926330.5935917
2054,"SLR_Temp_High","york",3187450.52770095,17779946.4450246
2055,"SLR_Temp_High","york",3131786.47612258,17628533.3840758
2056,"SLR_Temp_High","york",3074162.42298683,17472091.4107454
2057,"SLR_Temp_High","york",3014578.3682937,17310620.5250334
2058,"SLR_Temp_High","york",2953034.31204318,17144120.7269397
2059,"SLR_Temp_High","york",2889530.25423529,16972592.0164644
2060,"SLR_Temp_High","york",2824066.19487,16796034.3936074
2061,"SLR_Temp_High","york",2756642.13394733,16614447.8583687
2062,"SLR_Temp_High","york",2687258.07146728,16427832.4107484
2063,"SLR_Temp_High","york",2615914.00742984,16236188.0507465
2064,"SLR_Temp_High","york",2542609.94183503,16039514.7783629
2065,"SLR_Temp_High","york",2467345.87468282,15837812.5935976
2066,"SLR_Temp_High","york",2390121.80597324,15631081.4964507
