"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1966/07/01","00:00","11.445","NaN","9.365","4.897","4.887","0.405","NaN","-1.353","0"
"1966/08/01","00:00","11.445","NaN","9.267","4.835","4.805","0.356","NaN","-1.655","0"
"1966/09/01","00:00","11.445","NaN","9.336","4.854","4.844","0.356","NaN","-1.753","0"
"1966/10/01","00:00","10.845","NaN","8.926","4.566","4.526","0.127","NaN","-2.255","0"
"1966/11/01","00:00","10.947","NaN","9.106","4.697","4.664","0.235","NaN","-2.055","0"
"1966/12/01","00:00","11.944","NaN","8.975","4.595","4.556","0.146","NaN","-2.154","0"
"1967/01/01","00:00","12.046","NaN","9.175","4.664","4.634","0.107","NaN","-1.255","0"
"1967/02/01","00:00","10.947","NaN","9.014","4.615","4.566","0.117","NaN","-2.554","0"
"1967/03/01","00:00","11.347","NaN","9.126","4.595","4.585","0.045","NaN","-2.055","0"
"1967/04/01","00:00","11.646","NaN","9.277","4.917","4.854","0.435","NaN","-2.154","0"
"1967/05/01","00:00","12.246","NaN","9.424","4.995","4.897","0.366","NaN","-2.055","0"
"1967/06/01","00:00","11.744","NaN","9.267","4.844","4.815","0.356","NaN","-1.153","0"
"1967/07/01","00:00","10.445","NaN","9.224","4.874","4.815","0.405","NaN","-1.055","0"
"1967/08/01","00:00","10.747","NaN","9.077","4.766","4.736","0.386","NaN","-1.055","0"
"1967/09/01","00:00","10.645","NaN","9.146","4.726","4.726","0.307","NaN","-1.753","0"
"1967/10/01","00:00","11.347","NaN","9.136","4.677","4.664","0.195","NaN","-1.655","0"
"1967/11/01","00:00","11.846","NaN","9.077","4.605","4.566","0.054","NaN","-2.154","0"
"1967/12/01","00:00","11.846","NaN","9.277","4.736","4.726","0.166","NaN","-1.953","0"
"1968/01/01","00:00","10.747","NaN","8.867","4.434","4.424","-0.014","NaN","-2.354","0"
"1968/02/01","00:00","10.547","NaN","9.024","4.634","4.615","0.195","NaN","-1.455","0"
"1968/03/01","00:00","11.045","NaN","9.165","4.707","4.677","0.186","NaN","-2.154","0"
"1968/04/01","00:00","11.445","NaN","9.067","4.716","4.677","0.294","NaN","-2.154","0"
"1968/05/01","00:00","11.646","NaN","9.395","4.995","4.995","0.586","NaN","-2.255","0"
"1968/06/01","00:00","11.846","NaN","9.526","5.097","5.074","0.625","NaN","-1.655","0"
"1968/07/01","00:00","11.245","NaN","9.306","4.854","4.825","0.337","NaN","-1.655","0"
"1968/08/01","00:00","11.445","NaN","9.736","5.307","5.264","0.796","NaN","-0.756","0"
